iter	Passed	Remaining
0	1	153
1	3	147
2	3	128
3	4	114
4	5	113
5	7	112
6	8	112
7	10	126
8	12	127
9	13	124
10	14	119
11	15	114
12	16	112
13	18	110
14	19	108
15	20	105
16	21	103
17	22	100
18	22	97
19	23	95
20	25	96
21	26	95
22	27	92
23	28	90
24	29	88
25	30	86
26	31	84
27	32	82
28	33	81
29	34	79
30	34	77
31	35	76
32	36	74
33	37	72
34	38	71
35	39	71
36	41	70
37	42	68
38	43	67
39	43	65
40	44	64
41	45	62
42	46	61
43	47	59
44	48	58
45	48	57
46	49	56
47	50	54
48	51	53
49	52	52
50	53	51
51	53	49
52	55	49
53	57	48
54	57	47
55	58	46
56	59	44
57	60	43
58	61	42
59	61	41
60	62	40
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	68	32
68	69	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	80	20
80	81	19
81	82	18
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	95	2
97	96	1
98	97	0
99	98	0
