iter	Passed	Remaining
0	150	150096
1	151	75611
2	152	50725
3	153	38247
4	155	30988
5	157	26037
6	158	22500
7	159	19809
8	161	17749
9	162	16074
10	163	14716
11	165	13587
12	166	12635
13	167	11819
14	169	11122
15	170	10512
16	171	9940
17	172	9434
18	173	8979
19	175	8589
20	176	8222
21	177	7883
22	178	7572
23	179	7289
24	180	7029
25	181	6806
26	183	6621
27	185	6427
28	186	6231
29	187	6048
30	188	5879
31	189	5724
32	190	5578
33	191	5436
34	192	5301
35	193	5175
36	194	5056
37	195	4950
38	197	4859
39	198	4769
40	199	4677
41	200	4583
42	201	4493
43	202	4410
44	204	4343
45	205	4265
46	206	4190
47	207	4118
48	208	4048
49	209	3984
50	211	3933
51	212	3872
52	213	3818
53	214	3760
54	215	3702
55	216	3648
56	217	3597
57	218	3551
58	219	3502
59	220	3455
60	221	3407
61	222	3361
62	223	3317
63	224	3281
64	225	3250
65	227	3219
66	228	3186
67	229	3150
68	230	3114
69	232	3084
70	233	3051
71	234	3018
72	235	2984
73	236	2953
74	236	2922
75	237	2893
76	239	2868
77	241	2851
78	242	2830
79	244	2807
80	244	2779
81	246	2756
82	246	2725
83	247	2701
84	248	2676
85	249	2651
86	250	2627
87	251	2602
88	251	2579
89	253	2559
90	254	2543
91	256	2530
92	257	2511
93	258	2494
94	259	2475
95	261	2460
96	262	2441
97	263	2423
98	264	2405
99	265	2387
100	266	2368
101	267	2352
102	268	2336
103	269	2325
104	271	2315
105	273	2302
106	274	2287
107	275	2271
108	276	2256
109	277	2243
110	278	2228
111	279	2213
112	280	2198
113	280	2183
114	281	2169
115	283	2157
116	284	2143
117	285	2137
118	287	2127
119	288	2117
120	289	2105
121	291	2094
122	292	2083
123	293	2070
124	294	2058
125	295	2046
126	295	2033
127	296	2021
128	298	2013
129	299	2005
130	301	1999
131	303	1992
132	304	1982
133	304	1971
134	306	1961
135	307	1952
136	308	1942
137	309	1932
138	310	1923
139	311	1914
140	312	1906
141	313	1895
142	315	1889
143	316	1882
144	318	1875
145	318	1865
146	320	1857
147	321	1849
148	322	1840
149	323	1831
150	324	1823
151	325	1814
152	326	1806
153	327	1799
154	328	1793
155	330	1790
156	332	1785
157	333	1776
158	334	1768
159	335	1761
160	336	1752
161	337	1745
162	338	1737
163	339	1729
